id,hz,py,hv,pos,mn,audioUrl,mw,exSample,exPinyin,exMeaning,hskLevel,hanVietLevel,isPublished,createdAt
w-hanzi,汉字,hànzì,hán tự,n,"{""vi"": ""chữ Hán"", ""en"": ""Chinese character""}",,"个, 组, 行 [gè, zǔ, háng]",我喜欢写汉字。,Wǒ xǐhuan xiě hànzì.,"{""vi"": ""Tôi thích viết chữ Hán."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-hanyu,汉语,hànyǔ,hán ngữ,n,"{""vi"": ""[ngôn ngữ] tiếng Trung"", ""en"": ""chinese""}",,,她在学汉语。,Tā zài xué hànyǔ.,"{""vi"": ""Cô ấy đang học tiếng Trung."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-haochi2,好吃,hǎo chī,hảo ngật,adj,"{""vi"": ""ngon"", ""en"": ""yummy""}",,,包子很好吃。,Bāozi hěn hǎo chī.,"{""vi"": ""Bánh bao rất ngon."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-haoting,好听,hǎotīng,hảo thính,adj,"{""vi"": ""êm tai, du dương, dễ nghe"", ""en"": ""pleasant to hear""}",,,这首歌很好听。,Zhè shǒu gē hěn hǎotīng.,"{""vi"": ""Bài hát này rất hay."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-haowanr,好玩儿,hǎo wánr,hảo ngoạn nhi,adj,"{""vi"": ""[chơi] vui, thú vị"", ""en"": ""fun; interesting""}",,,北京很好玩儿。,Běijīng hěn hǎowánr.,"{""vi"": ""Bắc Kinh rất thú vị."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-haokan,好看,hǎokàn,hảo khan,adj,"{""vi"": ""đẹp, xinh, hay"", ""en"": ""good looking; interesting""}",,,这本书很好看。,Zhè běn shū hěn hǎokàn.,"{""vi"": ""Quyển sách này rất hay."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dadianhua2,打电话,dǎ diànhuà,đả điện thoại,v,"{""vi"": ""gọi điện, gọi điện thoại"", ""en"": ""make a phone call""}",,,请给我打电话。,Qǐng gěi wǒ dǎ diànhuà.,"{""vi"": ""Xin hãy gọi điện cho tôi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-dianhua2,电话,diànhuà,điện thoại,n,"{""vi"": ""điện thoại"", ""en"": ""phone, phone call""}",,"部, 台, 个, 次, 回 [bù, tái, gè, cì, huí]",你的电话响了。,Nǐ de diànhuà xiǎng le.,"{""vi"": ""Điện thoại của bạn reo rồi."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-shuohua2,说话,shuōhuà,thuyết thoại,v,"{""vi"": ""nói, trò chuyện"", ""en"": ""talk""}",,,我想和你说话。,Wǒ xiǎng hé nǐ shuōhuà.,"{""vi"": ""Tôi muốn nói chuyện với bạn."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-huidao2,回到,huí dào,hồi đến,v,"{""vi"": ""trở về"", ""en"": ""go back to""}",,,他回到家里了。,Tā huí dào jiā lǐ le.,"{""vi"": ""Anh ấy đã về đến nhà."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-huijia,回家,huíjiā,hồi gia,v,"{""vi"": ""quay về"", ""en"": ""go home""}",,,我今天六点回家。,Wǒ jīntiān liù diǎn huíjiā.,"{""vi"": ""Hôm nay tôi về nhà lúc sáu giờ."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shouji,手机,shǒujī,thủ cơ,n,"{""vi"": ""điện thoại di động"", ""en"": ""mobile phone""}",,"部, 台, 个, 款, 支 [bù, tái, gè, kuǎn, zhī]",我的手机很好。,Wǒ de shǒujī hěn hǎo.,"{""vi"": ""Điện thoại của tôi rất tốt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jichang,机场,jīchǎng,cơ,n,"{""vi"": ""sân bay"", ""en"": ""airport""}",,"个, 家, 座 [gè, jiā, zuò]",我们明天去机场。,Wǒmen míngtiān qù jīchǎng.,"{""vi"": ""Ngày mai chúng tôi đi sân bay."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dianshiji2,电视机,diànshì jī,điện thị cơ,n,"{""vi"": ""[chiếc] TV"", ""en"": ""television""}",,"个, 台, 部 [gè, tái, bù]",电视机在客厅里。,Diànshìjī zài kètīng lǐ.,"{""vi"": ""Tivi ở trong phòng khách."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-feiji,飞机,fēijī,phi cơ,n,"{""vi"": ""máy bay"", ""en"": ""plane""}",,"架, 个, 班 [jià, gè, bān]",我坐飞机去北京。,Wǒ zuò fēijī qù běijīng.,"{""vi"": ""Tôi đi Bắc Kinh bằng máy bay."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-huijia2,回家,huíjiā,hồi gia,v,"{""vi"": ""quay về"", ""en"": ""go home""}",,,我们一起回家吧。,Wǒmen yīqǐ huíjiā ba.,"{""vi"": ""Chúng ta cùng về nhà nhé."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zaijia2,在家,zàijiā,tại gia,v,"{""vi"": ""ở nhà"", ""en"": ""at home""}",,,他们在家学习。,Tāmen zàijiā xuéxí.,"{""vi"": ""Họ học ở nhà."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jiali,家里,jiālǐ,gia lý,,"{""vi"": ""trong nhà"", ""en"": ""at home""}",,,他家里很干净。,Tā jiālǐ hěn gānjìng.,"{""vi"": ""Trong nhà anh ấy rất sạch."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jiaren,家人,jiārén,gia nhân,n,"{""vi"": ""người nhà, người thân, người trong đình"", ""en"": ""family""}",,,家人等你回家。,Jiārén děng nǐ huíjiā.,"{""vi"": ""Người nhà đang đợi bạn về nhà."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-tingjian,听见,tīngjiàn,thính kiến,v,"{""vi"": ""nghe thấy"", ""en"": ""hear""}",,,我没听见老师说。,Wǒ méi tīngjiàn lǎoshī shuō.,"{""vi"": ""Tôi không nghe thấy thầy giáo nói."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kanjian,看见,kànjiàn,khan kiến,v,"{""vi"": ""nhìn thấy"", ""en"": ""see, catch sight of""}",,,我在北京看见她。,Wǒ zài běijīng kànjiàn tā.,"{""vi"": ""Tôi nhìn thấy cô ấy ở Bắc Kinh."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jianmian,见面,jiànmiàn,kiến diện,v,"{""vi"": ""gặp mặt"", ""en"": ""meet""}",,,我和他见面了。,Wǒ hé tā jiànmiàn le.,"{""vi"": ""Tôi và anh ấy đã gặp mặt."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jintian,今天,jīntiān,kim thiên,n,"{""vi"": ""hôm nay"", ""en"": ""today""}",,,我今天很高兴。,Wǒ jīntiān hěn gāoxìng.,"{""vi"": ""Hôm nay tôi rất vui."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jinnian,今年,jīnnián,kim niên,n,"{""vi"": ""năm nay"", ""en"": ""this year""}",,,他今年二十岁。,Tā jīnnián èrshí suì.,"{""vi"": ""Năm nay anh ấy hai mươi tuổi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-haokan2,好看,hǎokàn,hảo khan,adj,"{""vi"": ""đẹp, xinh, hay"", ""en"": ""good looking; interesting""}",,,这件衣服很好看。,Zhè jiàn yīfu hěn hǎokàn.,"{""vi"": ""Bộ quần áo này rất đẹp."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kandao2,看到,kàndào,khan đến,v,"{""vi"": ""nhìn thấy"", ""en"": ""see, catch sight of""}",,,我看到一只猫在树上。,Wǒ kàndào yī zhī māo zài shù shàng.,"{""vi"": ""Tôi thấy một con mèo ở trên cây."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kanbing2,看病,kànbìng,khan bệnh,v,"{""vi"": ""khám bệnh"", ""en"": ""see a doctor""}",,,你得去医院看病。,Nǐ děi qù yīyuàn kànbìng.,"{""vi"": ""Bạn cần đến bệnh viện khám đi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-kanjian2,看见,kànjiàn,khan kiến,v,"{""vi"": ""nhìn thấy"", ""en"": ""see, catch sight of""}",,,我看见一只小鸟在飞。,Wǒ kànjiàn yī zhī xiǎoniǎo zài fēi.,"{""vi"": ""Tôi thấy một con chim nhỏ đang bay."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shangke,上课,shàngkè,thượng khóa,v,"{""vi"": ""vào lớp, đi học"", ""en"": ""attend class; have a class""}",,,他昨天没上课。,Tā zuótiān méi shàngkè.,"{""vi"": ""Hôm qua anh ấy không đi học."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiake,下课,xiàkè,hạ khóa,v,"{""vi"": ""tan học"", ""en"": ""finish class""}",,,老师说下课了。,Lǎoshī shuō xiàkè le.,"{""vi"": ""Thầy giáo nói tan học rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kewen,课文,kèwén,khóa văn,n,"{""vi"": ""bài khóa, bài đọc"", ""en"": ""text""}",,"篇, 段 [piān, duàn]",这篇课文不太难。,Zhè piān kèwén bù tài nán.,"{""vi"": ""Bài khóa này không quá khó."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-keben,课本,kèběn,khóa bản,n,"{""vi"": ""sách giáo khoa"", ""en"": ""textbook""}",,"本, 册, 套 [běn, cè, tào]",这本课本很贵。,Zhè běn kèběn hěn guì.,"{""vi"": ""Cuốn sách giáo khoa này rất đắt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chulai2,出来,chūlái,xuất lai,v,"{""vi"": ""xuất hiện, đi ra"", ""en"": ""come out""}",,,太阳出来了。,Tàiyáng chūlái le.,"{""vi"": ""Mặt trời mọc rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-laidao2,来到,lái dào,lai đến,v,"{""vi"": ""đến"", ""en"": ""come to; arrive""}",,,欢迎你来到中国。,Huānyíng nǐ lái dào Zhōngguó.,"{""vi"": ""Chào mừng bạn đến Trung Quốc."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qilai,起来,qǐlái,khởi lai,v,"{""vi"": ""ngồi dậy, đứng đậy, thức"", ""en"": ""get up, stand up""}",,,请大家站起来。,Qǐng dàjiā zhàn qǐlái.,"{""vi"": ""Mời mọi người đứng dậy."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jinlai,进来,jìnlái,tiến lai,v,"{""vi"": ""bước vào [lại gần người nói]"", ""en"": ""come in""}",,,老师叫我进来。,Lǎoshī jiào wǒ jìnlái.,"{""vi"": ""Thầy giáo gọi tôi vào."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nali,哪里,nǎlǐ,nã lý,pron,"{""vi"": ""đâu, ở đâu, ở chỗ nào"", ""en"": ""where""}",,,他住在哪里？,Tā zhù zài nǎlǐ?,"{""vi"": ""Anh ấy sống ở đâu?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jiali2,家里,jiālǐ,gia lý,,"{""vi"": ""trong nhà"", ""en"": ""at home""}",,,我家里有三口人。,Wǒ jiālǐ yǒu sān kǒu rén.,"{""vi"": ""Trong nhà tôi có ba người."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zheli,这里,zhèlǐ,già lý,pron,"{""vi"": ""nơi đây"", ""en"": ""here""}",,,医院在这里。,Yīyuàn zài zhèlǐ.,"{""vi"": ""Bệnh viện ở đây."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nali2,那里,nàlǐ,nã lý,pron,"{""vi"": ""ở đó, nơi đó"", ""en"": ""there, that place""}",,,饭店在那里。,Fàndiàn zài nàlǐ.,"{""vi"": ""Nhà hàng ở bên kia."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-libian2,里边,lǐbian,lý biên,n,"{""vi"": ""phía trong"", ""en"": ""inside""}",,,钱在书包里边。,Qián zài shūbāo lǐbian.,"{""vi"": ""Tiền ở bên trong cặp sách."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jiaoxuelou,教学楼,jiàoxué lóu,giáo học lâu,n,"{""vi"": ""khu nhà dạy học, tòa nhà giảng dạy"", ""en"": ""teaching building""}",,"座, 栋, 幢, 层 [zuò, dòng, zhuàng, céng]",教学楼很高。,Jiàoxué lóu hěn gāo.,"{""vi"": ""Khu nhà dạy học rất cao."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-loushang,楼上,lóu shàng,lâu thượng,n,"{""vi"": ""tầng trên"", ""en"": ""upstairs""}",,,楼上有两间房间。,Lóu shàng yǒu liǎng jiān fángjiān.,"{""vi"": ""Trên tầng có 2 phòng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-louxia,楼下,lóu xià,lâu hạ,n,"{""vi"": ""tầng dưới"", ""en"": ""downstairs""}",,,他在楼下等我们。,Tā zài lóuxià děng wǒmen.,"{""vi"": ""Anh ấy đang chờ chúng tôi dưới lầu."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-tamen,他们,tāmen,tha môn,pron,"{""vi"": ""các anh ấy, bọn họ [nam]"", ""en"": ""they, them""}",,,他们是好朋友。,Tāmen shì hǎo péngyou.,"{""vi"": ""Họ là bạn tốt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nimen,你们,nǐmen,nễu môn,pron,"{""vi"": ""các anh, các chị, các bạn"", ""en"": ""[plural form] you""}",,,你们家有几口人？,Nǐmen jiā yǒu jǐ kǒu rén?,"{""vi"": ""Gia đình các bạn có mấy người?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-tamen2,她们,tāmen,tha môn,pron,"{""vi"": ""các cô ấy, bọn họ [nữ]"", ""en"": ""they, them""}",,,你见过她们吗？,Nǐ jiànguò tāmen ma?,"{""vi"": ""Bạn đã gặp họ chưa?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-tamen3,它们,tāmen,khí môn,pron,"{""vi"": ""bọn nó, chúng nó"", ""en"": ""they""}",,,它们的质量很好。,Tāmen de zhìliàng hěn hǎo.,"{""vi"": ""Chất lượng của chúng rất tốt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mianbao2,面包,miànbāo,diện bao,n,"{""vi"": ""bánh mì"", ""en"": ""bread""}",,"个, 片, 袋, 块 [gè, piàn, dài, kuài]",我喜欢吃面包。,Wǒ xǐhuan chī miànbāo.,"{""vi"": ""Tôi thích ăn bánh mì."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-miantiao,面条,miàntiáo,diện điều,n,"{""vi"": ""mì sợi"", ""en"": ""noodles""}",,"碗, 根, 口, 顿, 盆 [wǎn, gēn, kǒu, dùn, pén]",他在做面条。,Tā zài zuò miàntiáo.,"{""vi"": ""Anh ấy đang nấu mì."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mingtian,明天,míngtiān,minh thiên,n,"{""vi"": ""ngày mai"", ""en"": ""tomorrow""}",,,我们明天见面。,Wǒmen míngtiān jiànmiàn.,"{""vi"": ""Ngày mai chúng ta gặp nhau."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mingnian,明年,míngnián,minh niên,n,"{""vi"": ""năm sau, năm tới"", ""en"": ""next year""}",,,我明年去中国。,Wǒ míngnián qù zhōngguó.,"{""vi"": ""Năm sau tôi đi Trung Quốc."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nage3,那个,nàge,na cá,pron,"{""vi"": ""cái kia; người kia; đó"", ""en"": ""that; that one""}",,,那个人是我的老师。,Nàge rén shì wǒ de lǎoshī.,"{""vi"": ""Người kia là giáo viên của tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-naxie,那些,nàxiē,na tả,pron,"{""vi"": ""những … ấy, những"", ""en"": ""those""}",,,那些人都很高兴。,Nàxiē rén dōu hěn gāoxìng.,"{""vi"": ""Những người đó đều rất vui."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nar,那儿,nàr,na nhi,pron,"{""vi"": ""ở đó, nơi đó"", ""en"": ""there, that place""}",,,我的妈妈在那儿。,Wǒ de māma zài nàr.,"{""vi"": ""Mẹ tôi ở đó."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nabian2,那边,nàbian,na biên,pron,"{""vi"": ""bên kia, bên đó"", ""en"": ""over there""}",,,那边有一个商店。,Nàbian yǒu yī gè shāngdiàn.,"{""vi"": ""Bên kia có một cửa hàng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nali3,那里,nàlǐ,na lý,pron,"{""vi"": ""ở đó, nơi đó"", ""en"": ""there, that place""}",,,我站起来，走到他那里。,"Wǒ zhàn qǐlái, zǒu dào tā nàlǐ.","{""vi"": ""Tôi đứng dậy và đi đến chỗ anh ấy."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nage4,哪个,nǎge,na cá,pron,"{""vi"": ""cái nào; người nào"", ""en"": ""which; which one""}",,,哪个是你的书包？,Nǎge shì nǐ de shūbāo?,"{""vi"": ""Cái nào là cặp sách của bạn?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-naxie2,哪些,nǎxiē,na tả,pron,"{""vi"": ""những … nào"", ""en"": ""which""}",,,你喜欢哪些水果？,Nǐ xǐhuan nǎxiē shuǐguǒ?,"{""vi"": ""Bạn thích những loại trái cây nào?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nar2,哪儿,nǎr,na nhi,pron,"{""vi"": ""đâu, ở đâu"", ""en"": ""where""}",,,我们今天在哪儿吃饭？,Wǒmen jīntiān zài nǎr chīfàn?,"{""vi"": ""Hôm nay chúng ta ăn ở đâu?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nali4,哪里,nǎlǐ,na lý,pron,"{""vi"": ""đâu, ở đâu, ở chỗ nào"", ""en"": ""where""}",,,你的学校在哪里？,Nǐ de xuéxiào zài nǎlǐ?,"{""vi"": ""Trường học của bạn ở đâu?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nanren,男人,nánrén,nam nhân,n,"{""vi"": ""con trai, đàn ông"", ""en"": ""man""}",,"个, 位, 名 [gè, wèi, míng]",他是一个好男人。,Tā shì yīgè hǎo nánrén.,"{""vi"": ""Anh ấy là một người đàn ông tốt."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nanpengyou,男朋友,nán péngyou,nam bằng hữu,n,"{""vi"": ""bạn trai"", ""en"": ""boy friend""}",,"个, 位, 名 [gè, wèi, míng]",他是我的男朋友。,Tā shì wǒ de nán péngyou.,"{""vi"": ""Anh ấy là bạn trai của tôi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jinnian2,今年,jīnnián,kim niên,n,"{""vi"": ""năm nay"", ""en"": ""this year""}",,,今年我学习中文。,Jīnnián wǒ xuéxí zhōngwén.,"{""vi"": ""Năm nay tôi học tiếng Trung."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-bannian2,半年,bànnián,bán niên,n,"{""vi"": ""nửa năm"", ""en"": ""half a year""}",,,我来美国已经有半年了。,Wǒ lái měiguó yǐjīng yǒu bànniánle.,"{""vi"": ""Tôi đã ở Mỹ được sáu tháng rồi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-qunian,去年,qùnián,khứ niên,n,"{""vi"": ""năm ngoái, năm"", ""en"": ""last year""}",,,去年我在中国。,Qùnián wǒ zài zhōngguó.,"{""vi"": ""Năm ngoái tôi ở Trung Quốc."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mingnian2,明年,míngnián,minh niên,n,"{""vi"": ""năm sau, năm tới"", ""en"": ""next year""}",,,明年我上小学。,Míngnián wǒ shàng xiǎoxué.,"{""vi"": ""Năm sau tôi vào tiểu học."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-nren,女人,nǚrén,nữ nhân,n,"{""vi"": ""con gái, phụ nữ"", ""en"": ""women""}",,"个, 位 [gè, wèi]",女人喜欢花。,Nǚrén xǐhuan huā.,"{""vi"": ""Phụ nữ thích hoa."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ner,女儿,nǚ'ér,nữ nhi,n,"{""vi"": ""con gái"", ""en"": ""daughter""}",,"个, 位 [gè, wèi]",我女儿今年三岁。,Wǒ nǚ'ér jīnnián sān suì.,"{""vi"": ""Con gái tôi năm nay ba tuổi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nshi,女士,nǚshì,nữ thị,n,"{""vi"": ""quý bà; phụ nữ; bà (cách gọi lịch sự)"", ""en"": ""lady; madam; Ms.""}",,"个, 位, 名 [gè, wèi, míng]",那位女士是老师。,Nà wèi nǚshì shì lǎoshī.,"{""vi"": ""Quý bà đó là giáo viên."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-npengyou,女朋友,nǚ péngyou,nữ bằng hữu,n,"{""vi"": ""bạn gái"", ""en"": ""girlfriend""}",,"个, 位 [gè, wèi]",我想找个女朋友。,Wǒ xiǎng zhǎo gè nǚ péngyou.,"{""vi"": ""Tôi muốn tìm một cô bạn gái."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-npengyou2,女朋友,nǚ péngyou,nữ bằng hữu,n,"{""vi"": ""bạn gái"", ""en"": ""girlfriend""}",,"个, 位 [gè, wèi]",他的女朋友是中国人。,Tā de nǚ péngyou shì Zhōngguó rén.,"{""vi"": ""Bạn gái của anh ấy là người Trung Quốc."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xiaopengyou,小朋友,xiǎopéngyou,tiểu bằng hữu,n,"{""vi"": ""trẻ em, bạn nhỏ"", ""en"": ""child""}",,"个, 名, 位 [gè, míng, wèi]",现在，小朋友想想，是什么东西？,"Xiànzài, xiǎopéngyǒu xiǎng xiǎng, shì shénme dōngxī?","{""vi"": ""Nào các con, hãy suy nghĩ xem, đó là gì?"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nanpengyou2,男朋友,nán péngyou,nam bằng hữu,n,"{""vi"": ""bạn trai"", ""en"": ""boy friend""}",,"个, 位, 名 [gè, wèi, míng]",你的男朋友在哪里工作？,Nǐ de nán péngyou zài nǎlǐ gōngzuò?,"{""vi"": ""Bạn trai của bạn làm việc ở đâu?"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-qichuang,起床,qǐchuáng,khởi sàng,v,"{""vi"": ""thức dậy, ngủ dậy"", ""en"": ""get up""}",,,他七点就起床了。,Tā qī diǎn jiù qǐchuáng le.,"{""vi"": ""Anh ấy 7 giờ đã dậy rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qilai2,起来,qǐlái,khởi lai,v,"{""vi"": ""ngồi dậy, đứng đậy, thức"", ""en"": ""get up, stand up""}",,,他已坐了起来。,Tā yǐ zuòle qǐlái.,"{""vi"": ""Anh ấy đã ngồi dậy."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-riqi,日期,rìqī,nhật kỳ,n,"{""vi"": ""ngày [xác định]"", ""en"": ""date""}",,"个, 段 [gè, duàn]",今天的日期是几号？,Jīntiān de rìqī shì jǐ hào?,"{""vi"": ""Ngày hôm nay là ngày mấy?"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xingqi,星期,xīngqī,tinh kỳ,n,"{""vi"": ""tuần, thứ"", ""en"": ""week""}",,个 [gè],今天是星期一。,Jīntiān shì xīngqī yī.,"{""vi"": ""Hôm nay là thứ hai."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xingqitian,星期天,xīngqī tiān,tinh kỳ thiên,n,"{""vi"": ""chủ nhật"", ""en"": ""Sunday""}",,个 [gè],今天是星期天。,Jīntiān shì xīngqī tiān.,"{""vi"": ""Hôm nay là chủ nhật."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xingqiri,星期日,xīngqīrì,tinh kỳ nhật,n,"{""vi"": ""chủ nhật"", ""en"": ""Sunday""}",,个 [gè],今天是星期日。,Jīntiān shì xīngqī rì.,"{""vi"": ""Hôm nay là chủ nhật."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qianbian2,前边,qiánbian,tiền biên,n,"{""vi"": ""phía trước"", ""en"": ""front""}",,,书店就在前边。,Shūdiàn jiù zài qiánbian.,"{""vi"": ""Hiệu sách ở ngay phía trước."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qianmian,前面,qiánmiàn,tiền diện,n,"{""vi"": ""phía trước, trước mặt"", ""en"": ""Front""}",,,有两个男孩在我们前面。,Yǒu liǎng gè nánhái zài wǒmen qiánmiàn.,"{""vi"": ""Có hai cậu bé đi trước chúng tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qingzuo,请坐,qǐng zuò,thỉnh tọa,v,"{""vi"": ""mời ngồi"", ""en"": ""please have a seat""}",,,老师，请坐。,"Lǎoshī, qǐng zuò.","{""vi"": ""Mời thầy ngồi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-qingjin,请进,qǐng jìn,thỉnh tiến,v,"{""vi"": ""mời vào"", ""en"": ""please come in""}",,,请进，请坐，请喝茶。,"Qǐng jìn, qǐng zuò, qǐng hē chá.","{""vi"": ""Mời vào, mời ngồi, mời uống trà."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-qingwen,请问,qǐngwèn,thỉnh vấn,v,"{""vi"": ""xin hỏi"", ""en"": ""excuse me, please""}",,,请问，你叫什么名字？,"Qǐngwèn, nǐ jiào shénme míngzi?","{""vi"": ""Xin hỏi, bạn tên gì?"", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-nren2,女人,nǚrén,nữ nhân,n,"{""vi"": ""con gái, phụ nữ"", ""en"": ""women""}",,"个, 位 [gè, wèi]",那个女人是我的妈妈。,Nàge nǚrén shì wǒ de māma.,"{""vi"": ""Người phụ nữ kia là mẹ tôi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jiaren2,家人,jiārén,gia nhân,n,"{""vi"": ""người nhà, người thân, người trong đình"", ""en"": ""family""}",,,我的家人都喜欢运动。,Wǒ de jiārén dōu xǐhuan yùndòng.,"{""vi"": ""Người nhà tôi đều thích vận động."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
